!!!SBtab DocumentName='Pathway Model' SBtabVersion='1.0'	
!!SBtab TableName='Reaction' TableID='Reaction' TableType='Reaction'  	
!ReactionFormula	!RelativeFlux
acetyl-coA + CO2 + ATP + H2O <=> malonyl-coA + ADP + orthophosphate	1
Malonyl-CoA + NADPH <=> malonate semialdehyde + coA + NADP	1
malonate semialdehyde + NADPH <=> 3-hydroxypropionate + NADP	1
3-Hydroxypropionate + lactoyl-coA <=> 3-Hydroxypropionyl-CoA + lactate	1
3-hydroxypropionyl-coA <=> acrylyl-coA + h2o	1
acrylyl-coA + h2o <=> lactoyl-coA	1
lactate + quinone <=> pyruvate + quinol	1
